Description ,H1,H2,L1,L2,M1,M2
10D,629781.4285714285,0.0,2965.4285714285716,0.0,2982.5714285714284,0.0
11D,215.28571428571428,61.07142857142857,953.642857142857,692.2142857142857,696.3571428571429,23.0
12D,603.0,1729.7142857142858,107674.21428571429,105704.57142857143,3597.1428571428573,125.35714285714286
13D,13.557142857142859,0.0,65.97142857142856,104.02857142857144,20.128571428571426,0.0
14D,0.0,0.0,0.0,0.0,0.0,0.0
15D,219.28571428571428,2303.214285714286,774.7857142857143,0.0,75.92857142857143,0.0
16D,2980.214285714286,27528.214285714286,3561.9285714285716,1871.7142857142858,6698.142857142857,56.285714285714285
17D,0.0,0.0,0.0,0.0,0.0,0.0
18D,0.0,0.0,0.0,0.0,0.0,0.0
19D,0.0,22.19542857142857,0.0,2.2857142857142856,0.0,24.428571428571427
1D,0.0,0.0,0.0,0.0,0.0,0.0
20D,0.0,0.0,1.5,0.0,0.0,0.0
21D,3.7142857142857144,7.928571428571429,9.428571428571429,2.2142857142857144,25.857142857142858,23.571428571428573
22D,7.214285714285714,0.0,33.214285714285715,0.0,11.071428571428571,0.0
23D,0.0,1.7857142857142858,0.0,100.78571428571429,0.0,0.0
24D,0.0,0.0,0.0,0.0,7.0,0.0
25D,0.0,0.0,8.428571428571429,0.0,0.0,0.0
26D,0.0,0.0,0.0,0.0,0.0,0.0
27D,14.900000000000002,0.0,4981.257142857144,2838.1714285714284,824.8428571428569,15.785714285714286
28D,145.64285714285714,0.0,2583.9285714285716,1594.4285714285713,296.85714285714283,5.285714285714286
29D,704.2142857142857,5.785714285714286,140.21428571428572,9.285714285714286,0.0,0.0
2D,0.0,0.0,0.0,0.0,0.0,0.0
30D,0.0,0.0,0.0,0.0,0.0,0.0
31D,0.0,10.5,0.0,286.7714285714286,0.0,237.10000000000005
32D,135.9714285714286,16.585714285714285,18.657142857142855,1888.1285714285716,17.242857142857144,96.27142857142857
33D,17.47142857142857,5.6000000000000005,1.0857142857142856,7.828571428571428,0.0,0.5142857142857143
34D,0.0,0.0,4.357142857142857,6.771428571428572,0.0,0.0
35D,0.0,0.0,0.0,0.0,0.0,0.0
36D,0.0,0.0,0.0,0.0,0.0,0.0
37D,1224.9142857142856,186.34285714285716,9.928571428571429,36.25714285714286,79.85714285714286,438.7285714285714
38D,16.200000000000003,0.0,3.2714285714285714,122.78571428571429,80.19142857142857,0.0
39D,58.142857142857146,0.0,471.5,0.0,67.0,0.0
3D,195.92857142857142,0.0,227.71428571428572,62.857142857142854,23.5,0.0
40D,154.71428571428572,354.35714285714283,326.7857142857143,336.85714285714283,310.92857142857144,127.42857142857143
41D,0.0,0.0,0.0,0.0,0.0,0.0
42D,65.26199999999999,0.0,31851.128571428566,21362.35714285714,283.24899999999997,0.0
43D,238.28571428571428,0.0,3130.285714285714,0.0,73.42857142857143,0.0
44D,3295.6428571428573,0.0,203.57142857142858,0.0,276.64285714285717,0.0
45D,497.5,277.42857142857144,3771.1428571428573,1281.9285714285713,61.285714285714285,72.42857142857143
46D,43.0,0.0,147.57142857142858,336.35714285714283,51.92857142857143,0.0
47D,4132.571428571428,4385.785714285715,0.0,555.5714285714286,1693.0714285714287,6155.857142857143
48D,77.00700000000002,20.814285714285713,952.6790000000001,326.6714285714285,79.534,175.68571428571428
49D,0.0,0.0,0.0,62.92857142857143,0.0,0.0
4D,68.14285714285714,0.0,18.785714285714285,0.0,16.0,0.0
50D,35.142857142857146,518.1428571428571,528.2142857142857,291.2142857142857,2095.1428571428573,965.2142857142857
51D,0.0,0.0,0.0,0.0,0.0,0.0
52D,5620.357142857143,2365.785714285714,411.57142857142856,110.78571428571429,131.85714285714286,113.78571428571429
53D,0.0,0.0,0.0,0.0,0.0,0.0
54D,0.6428571428571429,0.21428571428571433,0.0,0.0,0.0,0.0
55D,0.0,135.85714285714286,0.0,0.0,0.0,21.857142857142858
56D,0.0,0.0,0.0,0.0,0.0,0.0
57D,0.0,0.0,0.0,0.0,0.0,6.928571428571429
58D,970.8571428571429,0.0,109.57142857142857,0.0,123.28571428571429,777.6428571428571
59D,5.428571428571429,0.0,0.0,0.0,5.0,0.0
5D,3.142857142857143,0.0,0.0,0.0,9.357142857142858,0.0
60D,0.0,184.78571428571428,0.0,0.0,0.0,0.0
61D,0.0,201.78571428571428,7.928571428571429,103.92857142857143,0.0,32.857142857142854
62D,91.9857142857143,164.8685714285714,78.64285714285714,1973.0428571428572,74.0142857142857,185.12357142857144
63D,0.0,0.0,0.0,0.0,0.0,0.0
64D,0.0,0.0,0.0,0.0,0.0,0.0
6D,0.0,0.0,0.0,0.0,0.0,0.0
7D,75.78571428571429,0.0,0.0,0.0,6.142857142857143,0.0
8D,0.07142857142857142,0.0,0.0,0.0,1.6428571428571428,0.0
9D,0.0,0.0,8.785714285714286,0.0,0.0,0.0
